work_year,employee_residence,remote_ratio,company_location,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE,company_size_L,company_size_M,company_size_S,salary_in_usd
2021,56,2,48,False,False,True,False,False,False,True,False,False,True,False,10.555812738575819
2022,20,0,18,False,False,True,False,False,False,False,True,False,True,False,11.088858408462402
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.506504897167305
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.918390573078392
2021,55,2,48,False,False,True,False,False,False,True,False,True,False,False,12.100712129872347
2021,30,2,40,False,False,True,False,False,True,False,False,True,False,False,11.94254320250572
2021,55,1,48,False,False,True,False,False,False,True,False,True,False,False,11.898187865760873
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.84939770159144
2021,55,2,48,False,False,True,False,False,False,True,False,True,False,False,11.813030057420567
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.983428969257615
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,12.043553716032399
2021,19,1,17,False,False,True,False,False,False,False,True,True,False,False,10.88166328808229
2021,27,2,25,False,False,True,False,False,False,True,False,True,False,False,9.883743923499516
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,12.261980277468469
2020,55,2,48,False,False,True,False,True,False,False,False,False,False,True,11.56171562913966
2020,43,1,39,False,False,True,False,False,False,True,False,True,False,False,8.987196820661973
2021,54,2,47,False,False,True,False,True,False,False,False,True,False,False,9.503009985939002
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.411114198823544
2021,55,2,48,False,False,True,False,False,False,False,True,True,False,False,12.043553716032399
2022,3,1,3,False,False,True,False,True,False,False,False,False,True,False,11.37024376424612
2021,21,2,19,False,False,True,False,False,False,True,False,False,True,False,10.601348605322293
2022,55,2,48,False,False,True,False,False,False,True,False,False,True,False,11.77528972943772
2022,20,0,18,False,False,True,False,False,False,True,False,False,True,False,10.73219219685162
2020,55,0,48,False,False,True,False,False,False,True,False,False,True,False,13.017002861746503
2020,14,0,12,False,False,True,False,False,False,True,False,True,False,False,11.287692231790937
2022,8,0,6,False,False,True,False,True,False,False,False,False,True,False,11.112447898373103
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.77528972943772
2022,8,2,6,False,False,True,False,False,False,False,True,False,True,False,11.023535121924303
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.792978510257518
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.533708004152757
2021,20,1,18,False,False,True,False,False,False,True,False,True,False,False,11.187361516056548
2020,21,1,19,False,False,True,False,False,False,False,True,True,False,False,10.77684990635436
2022,55,2,48,False,False,True,False,False,False,False,True,True,False,False,11.948596415135459
2021,39,2,36,False,False,True,False,False,False,True,False,True,False,False,10.819778284410283
2021,5,2,48,False,False,True,False,False,False,False,True,False,False,True,11.289781913656018
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.719939634354555
2021,22,1,18,False,False,True,False,False,False,True,False,False,False,True,11.097743298798683
2020,27,1,25,False,False,True,False,True,False,False,False,False,True,False,8.649448770536708
2022,17,2,15,False,False,True,False,False,False,True,False,False,False,True,10.403474651121124
